"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 13:11:56 GMT 2025","Sat Aug 09 13:11:57 GMT 2025","1796","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Aug 09 13:11:57 GMT 2025","Sat Aug 09 13:11:57 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Aug 09 13:11:47 GMT 2025","Sat Aug 09 13:11:49 GMT 2025","1925","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Aug 09 13:11:52 GMT 2025","Sat Aug 09 13:11:55 GMT 2025","2948","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Aug 09 13:11:54 GMT 2025","Sat Aug 09 13:11:56 GMT 2025","2404","LMS system","Courses","Courses","","","test_create_course[chromium]",""
"passed","Sat Aug 09 13:11:51 GMT 2025","Sat Aug 09 13:11:54 GMT 2025","2175","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Aug 09 13:11:57 GMT 2025","Sat Aug 09 13:11:57 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Aug 09 13:11:48 GMT 2025","Sat Aug 09 13:11:50 GMT 2025","1577","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Aug 09 13:11:51 GMT 2025","Sat Aug 09 13:11:52 GMT 2025","1337","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Aug 09 13:11:42 GMT 2025","Sat Aug 09 13:11:44 GMT 2025","1927","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 09 13:11:42 GMT 2025","Sat Aug 09 13:11:44 GMT 2025","1992","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 09 13:11:45 GMT 2025","Sat Aug 09 13:11:47 GMT 2025","1668","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 09 13:11:45 GMT 2025","Sat Aug 09 13:11:48 GMT 2025","3242","LMS system","Authentication","Authorization","","","User login with correct email and password",""
